"","ID","STRATA","E_km","N_km"
"118",118,"WGOM",510.441846263572,4574.78881804043
"119",119,"WGOM",449.029674382954,4711.52335597642
"120",120,"SNE",-24.4514509731698,4108.64906822713
"121",121,"WGOM",581.854723115896,4728.46536377369
"122",122,"GBK",542.935627857088,4476.32921762319
"123",123,"GBK",614.082622962601,4622.89561415693
"124",124,"SNE",190.202485044084,4404.09595895323
"125",125,"SNE",243.656580701039,4420.07836686967
"126",126,"SNE",172.406280580991,4499.18340888648
"127",127,"SNE",67.7056003088815,4309.78261523568
"128",128,"WGOM",468.755149858429,4619.51609871916
"129",129,"WGOM",436.397201358748,4787.59342013505
"130",130,"GBK",656.383593836387,4657.41017726373
"131",131,"GBK",682.291146031592,4511.06014719242
"132",132,"SNE",233.455600308882,4417.41317079124
"133",133,"WGOM",448.32597067925,4445.69928190235
"134",134,"WGOM",362.377395180675,4709.97022207327
"135",135,"EGOM",579.576669491269,4855.24540349564
"136",136,"SNE",-46.9789235006424,4080.35305174362
"137",137,"WGOM",401.640496142213,4686.63764995789
"138",138,"SNE",392.218178925233,4488.56615821262
"139",139,"GBK",574.00560030888,4518.36594856902
"140",140,"WGOM",466.668563271843,4761.86594856902
"141",141,"SNE",16.5149336422147,4327.6788374579
"142",142,"SNE",110.410493275242,4311.41997507258
"143",143,"SNE",218.652968729935,4405.14080237018
"144",144,"GBK",563.519516166484,4518.70143939965
"145",145,"SNE",157.809961679598,4315.06792157005
"146",146,"SNE",-54.7355761617069,4144.32346490888
"147",147,"SNE",108.038933642215,4406.76445284252
"148",148,"GBK",693.318345406917,4556.87983745789
"149",149,"SNE",40.6341717374528,4278.17547237854
"150",150,"WGOM",581.317622166802,4741.0417227038
"151",151,"WGOM",538.907354694845,4713.54957430001
"152",152,"SNE",91.737046849762,4370.70766764658
"153",153,"GBK",625.239788343066,4626.45996566303
"154",154,"GBK",600.738933642212,4657.4896200666
"155",155,"SNE",160.479611608317,4375.17009169519
"156",156,"SNE",363.757115460396,4552.02756473063
"157",157,"SNE",126.310863466776,4371.34255675615
"158",158,"SNE",210.365020598737,4412.4896200666
"159",159,"SNE",108.300401532123,4396.71355305423
"160",160,"EGOM",572.472817939733,4897.31268869756
"161",161,"SNE",25.3292562228599,4306.88386971597
"162",162,"WGOM",492.848933642213,4625.6648374579
"163",163,"WGOM",468.445183642212,4424.9892124579
"164",164,"GBK",575.768291440377,4611.89703929277
"165",165,"GBK",524.248933642213,4560.6148374579
"166",166,"WGOM",567.077395180673,4779.40868361173
"167",167,"GBK",520.983378086658,4618.24372634679
"168",168,"SNE",11.335229938511,4210.90298560605
"169",169,"WGOM",452.426933642213,4774.07883745789
"170",170,"SNE",312.822266975548,4589.59650412457
"171",171,"GBK",609.356393959672,4613.58817079123
"172",172,"WGOM",562.079474182753,4695.81339601646
"173",173,"WGOM",591.627643319631,4763.39193423209
"174",174,"SNE",93.9902610758432,4295.72386400658
"175",175,"SNE",224.155600308882,4396.0548374579
"176",176,"SNE",-34.2592314953999,4113.90621360469
"177",177,"SNE",166.667374009188,4404.47502094414
