"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.05",1995,"Fall",4537.15647680216,15.8525943072553,382.058164411445,31.8790886227584,"ALL"
"0.05",1996,"Spring",4536.95155876937,88.0017559486123,338.745545212462,104.743194762675,"ALL"
"0.05",1996,"Fall",4537.40396026492,38.967500116409,363.239721043788,65.0630686141423,"ALL"
"0.05",1997,"Spring",4521.80200726922,70.0183356961971,351.989384092664,110.735663515399,"ALL"
"0.05",1997,"Fall",4538.8896200666,12.342023789164,371.87556730558,16.6498651826783,"ALL"
"0.05",1998,"Spring",4534.27269460076,78.9622639224924,352.355260172827,91.9023039077257,"ALL"
"0.05",1998,"Fall",4538.8896200666,13.2188320337874,371.87556730558,15.2915682731724,"ALL"
"0.05",1999,"Spring",4530.97864698171,83.9201895566289,356.561155864437,99.807368855276,"ALL"
"0.05",1999,"Fall",4542.14474571478,8.73089789478541,371.608498859605,15.3677756470612,"ALL"
"0.05",2000,"Spring",4519.12368991692,66.8327598828531,351.858261373306,103.998986695225,"ALL"
"0.05",2000,"Fall",4549.9813331844,25.3143973308368,368.668563271843,23.5219694009425,"ALL"
"0.05",2001,"Spring",4535.50245650552,95.0330191928792,345.677231514555,107.219589506512,"ALL"
"0.05",2001,"Fall",4560.4023784415,24.7105439795337,367.082037090489,16.9202280835143,"ALL"
"0.05",2002,"Spring",4540.50045149299,72.9963029387889,350.547130363525,102.819455341676,"ALL"
"0.05",2002,"Fall",4550.86198031505,26.0865566167997,369.113933642215,14.8345394409296,"ALL"
"0.05",2003,"Spring",4550.54729028809,56.4270428865628,324.608164411444,59.0623749622454,"ALL"
"0.05",2003,"Fall",4528.05483745789,25.1707065142775,362.988933642213,66.8549398583558,"ALL"
"0.05",2004,"Spring",4488.03785632583,95.7844555941466,285.015997862398,109.891159820026,"ALL"
"0.05",2004,"Fall",4528.03635006294,44.979415647201,356.722266975547,63.2535501496359,"ALL"
"0.05",2005,"Spring",4524.55291438098,62.5681536779146,288.685087488368,78.4926859337049,"ALL"
"0.05",2005,"Fall",4522.14372634679,19.8905690758211,349.957981261262,59.791710648221,"ALL"
"0.05",2006,"Spring",4529.8048374579,59.9971716138723,356.548642380078,82.5222152737321,"ALL"
"0.05",2006,"Fall",4543.21880142187,14.6181313959378,363.14955311124,4.98260540026663,"ALL"
"0.05",2007,"Spring",4529.8048374579,98.4664140263222,349.957981261262,122.122960822245,"ALL"
"0.05",2007,"Fall",4535.50245650552,31.7075578091846,357.898933642214,49.129779908722,"ALL"
"0.05",2008,"Spring",4539.84775781189,41.8414807589908,349.957981261262,66.252118467633,"ALL"
"0.05",2008,"Fall",4543.21880142187,24.7291421669997,362.988933642213,44.5544033323606,"ALL"
"0.05",2009,"Spring",4519.12209409507,73.9392327056643,267.680526562569,76.098341188402,"ALL"
"0.05",2009,"Fall",4536.95155876937,15.4692155439129,376.072266975547,31.4688727388063,"ALL"
"0.05",2010,"Spring",4515.7786469817,23.8702603302822,269.745282848564,39.6563144728952,"ALL"
"0.05",2010,"Fall",4537.74283745789,40.9676615258058,374.066492697331,61.4992992516311,"ALL"
"0.05",2011,"Spring",4532.21097780878,65.6309425777144,277.528832632114,75.1523992966571,"ALL"
"0.05",2011,"Fall",4537.15647680216,12.6363971625443,382.133974964527,15.7235673703054,"ALL"
"0.05",2012,"Spring",4527.86308488058,54.6228068024048,356.722266975547,84.1204371384282,"ALL"
